59,0.61,0.034,0.0,0.153,0.153,0.051,0.186,0.61,0.186;0,0,1
18,0.611,0.0,0.167,0.222,0.0,0.0,0.389,0.203,0.797;1,0,0
68,0.735,0.029,0.0,0.147,0.074,0.015,0.176,0.432,0.428;0,0,1
52,0.885,0.019,0.0,0.058,0.019,0.019,0.077,0.885,0.077;0,1,0
59,0.712,0.0,0.0,0.22,0.068,0.0,0.22,0.64,0.29;0,0,1
28,0.857,0.0,0.036,0.0,0.107,0.0,0.036,0.83,0.06;0,0,1
38,0.5,0.0,0.053,0.289,0.105,0.053,0.342,0.351,0.473;0,0,1
26,0.423,0.0,0.0,0.577,0.0,0.0,0.577,0.143,0.857;1,0,0
62,0.355,0.016,0.21,0.323,0.0,0.097,0.548,0.355,0.548;0,0,1
31,0.484,0.129,0.065,0.258,0.065,0.0,0.452,0.109,0.789;1,0,0
24,0.583,0.042,0.125,0.167,0.083,0.0,0.333,0.147,0.701;0,0,1
26,0.654,0.077,0.0,0.077,0.192,0.0,0.154,0.621,0.185;0,0,1
57,0.474,0.088,0.0,0.263,0.175,0.0,0.351,0.324,0.48;0,0,1
24,0.125,0.0,0.0,0.875,0.0,0.0,0.875,0.024,0.976;1,0,0
64,0.625,0.016,0.016,0.25,0.078,0.016,0.281,0.245,0.597;0,0,1
30,0.933,0.0,0.033,0.0,0.033,0.0,0.033,0.913,0.054;0,1,0
37,0.73,0.0,0.081,0.135,0.054,0.0,0.216,0.648,0.295;0,0,1
30,0.6,0.0,0.0,0.133,0.233,0.033,0.133,0.368,0.264;0,0,1
30,0.167,0.333,0.033,0.467,0.0,0.0,0.833,0.075,0.925;1,0,0
36,0.722,0.083,0.111,0.083,0.0,0.0,0.278,0.606,0.394;0,0,1
66,0.424,0.0,0.03,0.061,0.03,0.455,0.091,0.335,0.133;0,0,1
28,0.179,0.0,0.429,0.321,0.071,0.0,0.75,0.061,0.861;0,0,1
56,0.321,0.036,0.339,0.143,0.125,0.036,0.518,0.069,0.721;0,0,1
